Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.156074047089
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.156006813049
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.168365001678
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.169522047043
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.144249916077
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.4	14.0	7.2	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.41666666667	1	0.213217020035
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.4	14.0	7.2	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.41666666667	1	0.198387145996
benchmarks-deception/blocks-words/p03/domain.pddl	benchmarks-deception/blocks-words/p03/template.pddl	greedy	heuristic	shortest	centroid	['(on a h)', '(ontable c)', '(ontable h)', '(ontable k)', '(ontable r)', '(on s a)', '(ontable t)', '(ontable u)', '(not (clear a))', '(clear c)', '(not (clear h))', '(clear k)', '(clear r)', '(clear s)', '(clear t)', '(clear u)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.0	12.0	8.0	12.0	[]	0	8.0	1	0.152432203293
benchmarks-deception/blocks-words/p04/domain.pddl	benchmarks-deception/blocks-words/p04/template.pddl	greedy	heuristic	shortest	centroid	['(on a h)', '(ontable c)', '(ontable h)', '(ontable k)', '(ontable r)', '(on s a)', '(ontable t)', '(ontable u)', '(not (clear a))', '(clear c)', '(not (clear h))', '(clear k)', '(clear r)', '(clear s)', '(clear t)', '(clear u)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.10526315789	12.0	8.10526315789	12.0	[]	0	8.10526315789	1	0.139493942261
benchmarks-deception/blocks-words/p05/domain.pddl	benchmarks-deception/blocks-words/p05/template.pddl	greedy	heuristic	shortest	centroid	['(ontable a)', '(ontable e)', '(ontable h)', '(on m o)', '(ontable o)', '(on r a)', '(on t w)', '(ontable w)', '(not (clear a))', '(clear e)', '(clear h)', '(clear m)', '(not (clear o))', '(clear r)', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.84210526316	14.0	8.84210526316	14.0	[]	0	8.84210526316	1	0.197160959244
benchmarks-deception/blocks-words/p06/domain.pddl	benchmarks-deception/blocks-words/p06/template.pddl	greedy	heuristic	shortest	centroid	['(ontable a)', '(ontable e)', '(ontable h)', '(on m o)', '(ontable o)', '(on r a)', '(on t w)', '(ontable w)', '(not (clear a))', '(clear e)', '(clear h)', '(clear m)', '(not (clear o))', '(clear r)', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.26315789474	14.0	9.26315789474	14.0	[]	0	9.26315789474	1	0.16352891922
benchmarks-deception/blocks-words/p07/domain.pddl	benchmarks-deception/blocks-words/p07/template.pddl	greedy	heuristic	shortest	centroid	['(on a w)', '(ontable c)', '(ontable d)', '(ontable e)', '(ontable o)', '(ontable p)', '(on r o)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(not (clear o))', '(clear p)', '(clear r)', '(not (clear w))', '(handempty )', '(not (achieved3 ))', '(achieved2 )', '(not (achieved1 ))', '(not (achieved0 ))']	6.0	8.0	4.0	10.0	['unstack d a (1)', 'put-down d (1)', 'unstack r p (1)', 'stack r o (1)', 'unstack a c (1)', 'stack a w (1)', 'clearp-ontablew-onaw  (1)']	7	3.71875	1	0.182337999344
benchmarks-deception/blocks-words/p08/domain.pddl	benchmarks-deception/blocks-words/p08/template.pddl	greedy	heuristic	shortest	centroid	['(on a r)', '(ontable c)', '(ontable d)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable s)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(not (clear r))', '(clear s)', '(clear w)', '(handempty )', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.0	8.0	3.0	6.0	['unstack r p (1)', 'put-down r (1)', 'unstack d a (1)', 'put-down d (1)', 'unstack a c (1)', 'stack a r (1)']	6	5.07142857143	1	0.163417816162
benchmarks-deception/blocks-words/p09/domain.pddl	benchmarks-deception/blocks-words/p09/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable h)', '(ontable m)', '(ontable o)', '(ontable p)', '(on r o)', '(on t m)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear h)', '(not (clear m))', '(not (clear o))', '(clear p)', '(clear r)', '(clear t)', '(clear w)', '(handempty )', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	7.5	10.0	8.0	8.0	['unstack r p (1)', 'stack r o (1)']	2	6.5	1	0.182254076004
benchmarks-deception/blocks-words/p10/domain.pddl	benchmarks-deception/blocks-words/p10/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable m)', '(ontable o)', '(ontable p)', '(ontable r)', '(on t r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear m)', '(clear o)', '(clear p)', '(not (clear r))', '(clear t)', '(clear w)', '(handempty )', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.0	10.0	8.5	10.0	['unstack r p (1)', 'put-down r (1)', 'unstack t m (1)', 'stack t r (1)']	4	6.5	1	0.146284818649
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.173491001129
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	heuristic	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.144940853119
benchmarks-deception/blocks-words/p03/domain.pddl	benchmarks-deception/blocks-words/p03/template.pddl	greedy	heuristic	shortest	centroid	['(on a h)', '(ontable c)', '(ontable h)', '(ontable k)', '(ontable r)', '(on s a)', '(ontable t)', '(ontable u)', '(not (clear a))', '(clear c)', '(not (clear h))', '(clear k)', '(clear r)', '(clear s)', '(clear t)', '(clear u)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.2	12.0	8.2	12.0	[]	0	8.2	1	0.191745042801
benchmarks-deception/blocks-words/p04/domain.pddl	benchmarks-deception/blocks-words/p04/template.pddl	greedy	heuristic	shortest	centroid	['(on a h)', '(ontable c)', '(ontable h)', '(ontable k)', '(ontable r)', '(on s a)', '(ontable t)', '(ontable u)', '(not (clear a))', '(clear c)', '(not (clear h))', '(clear k)', '(clear r)', '(clear s)', '(clear t)', '(clear u)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.2	12.0	8.2	12.0	[]	0	8.2	1	0.144135951996
benchmarks-deception/blocks-words/p05/domain.pddl	benchmarks-deception/blocks-words/p05/template.pddl	greedy	heuristic	shortest	centroid	['(ontable a)', '(ontable e)', '(ontable h)', '(on m o)', '(ontable o)', '(ontable r)', '(on t w)', '(ontable w)', '(clear a)', '(clear e)', '(clear h)', '(clear m)', '(not (clear o))', '(clear r)', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.1	14.0	8.4	12.0	['unstack r a (1)', 'put-down r (1)']	2	8.21666666667	1	0.144572019577
